property_category,service_package,plan_type,area_key,amount,floor_amount,gst_percent,billing_basis,notes,source_sheet,source_row,expected_gst,expected_total
residential,Cockroach Standard,One Time Service,Single Room,700.00,600.00,18.00,,Spray + gel + 1 sticky pad,Residential,4,126.00,826.00
residential,Cockroach Standard,AMC 3 Services,Single Room,1700.00,1500.00,18.00,,Spray + gel + 1 sticky pad,Residential,4,306.00,2006.00
residential,Cockroach Standard,One Time Service,1+1 Chawl,1100.00,950.00,18.00,,Spray + gel + 1 sticky pad,Residential,5,198.00,1298.00
residential,Cockroach Standard,AMC 3 Services,1+1 Chawl,2400.00,2100.00,18.00,,Spray + gel + 1 sticky pad,Residential,5,432.00,2832.00
residential,Cockroach Standard,One Time Service,1 RK,900.00,800.00,18.00,,Spray + gel + 1 sticky pad,Residential,6,162.00,1062.00
residential,Cockroach Standard,AMC 3 Services,1 RK,2000.00,1750.00,18.00,,Spray + gel + 1 sticky pad,Residential,6,360.00,2360.00
residential,Cockroach Standard,One Time Service,1 BHK,1250.00,1100.00,18.00,,Spray + gel + 1 sticky pad,Residential,7,225.00,1475.00
residential,Cockroach Standard,AMC 3 Services,1 BHK,2500.00,2200.00,18.00,,Spray + gel + 1 sticky pad,Residential,7,450.00,2950.00
residential,Cockroach Standard,One Time Service,2 BHK,1600.00,1400.00,18.00,,Spray + gel + 1 sticky pad,Residential,8,288.00,1888.00
residential,Cockroach Standard,AMC 3 Services,2 BHK,3000.00,2650.00,18.00,,Spray + gel + 1 sticky pad,Residential,8,540.00,3540.00
residential,Cockroach Standard,One Time Service,3 BHK,1900.00,1650.00,18.00,,Spray + gel + 1 sticky pad,Residential,9,342.00,2242.00
residential,Cockroach Standard,AMC 3 Services,3 BHK,3500.00,3100.00,18.00,,Spray + gel + 1 sticky pad,Residential,9,630.00,4130.00
residential,Cockroach Standard,One Time Service,4 BHK,2300.00,2000.00,18.00,,Spray + gel + 1 sticky pad,Residential,10,414.00,2714.00
residential,Cockroach Standard,AMC 3 Services,4 BHK,4200.00,3700.00,18.00,,Spray + gel + 1 sticky pad,Residential,10,756.00,4956.00
residential,Cockroach Standard,One Time Service,5 BHK,2700.00,2400.00,18.00,,Spray + gel + 1 sticky pad,Residential,11,486.00,3186.00
residential,Cockroach Standard,AMC 3 Services,5 BHK,4900.00,4300.00,18.00,,Spray + gel + 1 sticky pad,Residential,11,882.00,5782.00
residential,Cockroach Premium,One Time Service,Single Room,950.00,850.00,18.00,,Odourless spray + full gel + monitoring,Residential,12,171.00,1121.00
residential,Cockroach Premium,AMC 3 Services,Single Room,2200.00,1950.00,18.00,,Odourless spray + full gel + monitoring,Residential,12,396.00,2596.00
residential,Cockroach Premium,One Time Service,1+1 Chawl,1500.00,1300.00,18.00,,Odourless spray + full gel + monitoring,Residential,13,270.00,1770.00
residential,Cockroach Premium,AMC 3 Services,1+1 Chawl,3200.00,2800.00,18.00,,Odourless spray + full gel + monitoring,Residential,13,576.00,3776.00
residential,Cockroach Premium,One Time Service,1 RK,1200.00,1050.00,18.00,,Odourless spray + full gel + monitoring,Residential,14,216.00,1416.00
residential,Cockroach Premium,AMC 3 Services,1 RK,2600.00,2300.00,18.00,,Odourless spray + full gel + monitoring,Residential,14,468.00,3068.00
residential,Cockroach Premium,One Time Service,1 BHK,1600.00,1400.00,18.00,,Odourless spray + full gel + monitoring,Residential,15,288.00,1888.00
residential,Cockroach Premium,AMC 3 Services,1 BHK,3300.00,2900.00,18.00,,Odourless spray + full gel + monitoring,Residential,15,594.00,3894.00
residential,Cockroach Premium,One Time Service,2 BHK,2000.00,1750.00,18.00,,Odourless spray + full gel + monitoring,Residential,16,360.00,2360.00
residential,Cockroach Premium,AMC 3 Services,2 BHK,4000.00,3500.00,18.00,,Odourless spray + full gel + monitoring,Residential,16,720.00,4720.00
residential,Cockroach Premium,One Time Service,3 BHK,2450.00,2150.00,18.00,,Odourless spray + full gel + monitoring,Residential,17,441.00,2891.00
residential,Cockroach Premium,AMC 3 Services,3 BHK,4700.00,4150.00,18.00,,Odourless spray + full gel + monitoring,Residential,17,846.00,5546.00
residential,Cockroach Premium,One Time Service,4 BHK,2900.00,2550.00,18.00,,Odourless spray + full gel + monitoring,Residential,18,522.00,3422.00
residential,Cockroach Premium,AMC 3 Services,4 BHK,5500.00,4850.00,18.00,,Odourless spray + full gel + monitoring,Residential,18,990.00,6490.00
residential,Cockroach Premium,One Time Service,5 BHK,3400.00,3000.00,18.00,,Odourless spray + full gel + monitoring,Residential,19,612.00,4012.00
residential,Cockroach Premium,AMC 3 Services,5 BHK,6400.00,5650.00,18.00,,Odourless spray + full gel + monitoring,Residential,19,1152.00,7552.00
residential,Bed Bugs,One Time Service,Single Room,1700.00,1500.00,18.00,,2 services within 30 days,Residential,20,306.00,2006.00
residential,Bed Bugs,One Time Service,1+1 Chawl,2700.00,2400.00,18.00,,2 services within 30 days,Residential,21,486.00,3186.00
residential,Bed Bugs,One Time Service,1 RK,2200.00,1950.00,18.00,,2 services within 30 days,Residential,22,396.00,2596.00
residential,Bed Bugs,One Time Service,1 BHK,2800.00,2450.00,18.00,,2 services within 30 days,Residential,23,504.00,3304.00
residential,Bed Bugs,One Time Service,2 BHK,3400.00,3000.00,18.00,,2 services within 30 days,Residential,24,612.00,4012.00
residential,Bed Bugs,One Time Service,3 BHK,4000.00,3500.00,18.00,,2 services within 30 days,Residential,25,720.00,4720.00
residential,Bed Bugs,One Time Service,4 BHK,4600.00,4050.00,18.00,,2 services within 30 days,Residential,26,828.00,5428.00
residential,Bed Bugs,One Time Service,5 BHK,5200.00,4600.00,18.00,,2 services within 30 days,Residential,27,936.00,6136.00
residential,Termite Spot Treatment,One Time Service,Single Room,2200.00,1950.00,18.00,,Affected furniture/wall area; inspection may revise,Residential,28,396.00,2596.00
residential,Termite Spot Treatment,One Time Service,1+1 Chawl,3300.00,2900.00,18.00,,Affected furniture/wall area; inspection may revise,Residential,29,594.00,3894.00
residential,Termite Spot Treatment,One Time Service,1 RK,2700.00,2400.00,18.00,,Affected furniture/wall area; inspection may revise,Residential,30,486.00,3186.00
